"Name","Tab","Time","Note"
"pr;BTB-862: HTML/CSS Rotationstabs STYLEBOOK","My Timers","0,00",""
"pr;SCC-58: Bedarfsstatus-Tortendiagramm fürs Dashboard","My Timers","0,00",""
"pr;BTB-852: Deployment","My Timers","0,00",""
"an: logos bug","My Timers","0,00",""
"ausbildung arbeit dokumentation","My Timers","0,00",""
"ausbildung arbeit evaluation","My Timers","7,30",""
"ausbildung arbeit cache issues","My Timers","0,00",""
"pr;SCC-59: Bedarfsstatus-Verlaufsdiagramm fürs Dashboard","My Timers","0,00",""
"an; spiegelqc login issue","My Timers","0,00",""
"an; spiegelqc google analytics","My Timers","0,00",""
"an; spiegelqc: online price naming","My Timers","0,00",""